query_id,cost_ratio,detour_m,diverge_lat,diverge_lon,progress_fraction,straight_line_km
935,1.006571,76.160000,37.771551,-122.454093,0.829091,9.074759
936,1.000929,10.360000,37.728336,-122.478683,0.434412,9.578052
937,1.005202,5.960000,37.797119,-122.413578,0.112676,0.901049
938,1.045109,386.680000,37.765225,-122.447672,0.306636,7.230473
939,1.014244,38.140000,37.739768,-122.466903,0.320225,2.352208
940,1.004281,22.190000,37.760966,-122.495237,0.004566,3.932446
941,1.007953,12.810000,37.709196,-122.485197,0.437086,1.346156
942,1.002176,16.590000,37.782194,-122.410403,0.034211,6.717870
943,1.007381,43.480000,37.750306,-122.387713,0.634686,4.431855
944,1.007266,62.870000,37.734422,-122.442079,0.853070,6.781173
945,1.004601,41.390000,37.761868,-122.446837,0.396409,6.382641
946,1.026828,151.810000,37.757706,-122.406860,0.066946,4.503399
947,1.012754,55.440000,37.724970,-122.461189,0.043062,3.759425
949,1.033276,314.640000,37.760705,-122.438193,0.572534,7.123636
950,1.002594,11.730000,37.756236,-122.432218,0.785311,3.418269
951,1.008484,61.600000,37.746239,-122.461799,0.502083,5.989322
952,1.026315,283.800000,37.705206,-122.447638,0.161290,8.785230
953,1.000475,5.390000,37.772478,-122.484258,0.401667,9.971545
954,1.019928,204.730000,37.757555,-122.486300,0.003861,8.204599
955,1.023616,174.490000,37.730107,-122.458298,0.017897,5.876092
957,1.008343,48.060000,37.758644,-122.463803,0.443213,4.085463
959,1.012199,137.200000,37.784085,-122.434669,0.116139,8.669441
961,1.011630,62.170000,37.745708,-122.419824,0.536332,4.740582
962,1.021885,268.870000,37.771127,-122.424435,0.234177,10.360197
963,1.006551,46.740000,37.705148,-122.450596,0.034146,6.378700
964,1.028270,129.910000,37.732558,-122.379671,0.093750,4.192729
965,1.054181,394.200000,37.758457,-122.463790,0.111702,6.080924
966,1.009697,48.670000,37.719718,-122.442541,0.107407,4.396070
967,1.000599,1.550000,37.717911,-122.466240,0.148148,2.258911
969,1.003308,14.900000,37.720048,-122.445088,0.827068,3.204771
970,1.001985,4.450000,37.724999,-122.484765,0.512953,1.732571
971,1.008281,93.500000,37.761868,-122.446837,0.667311,7.600564
