rank,node_id,betweenness,lat,lon,pct_of_total
354,52041,4037.186000,40.733036,-73.941025,0.022024
355,52042,4036.612000,40.732990,-73.941153,0.022021
356,30448,4036.042000,40.732948,-73.941281,0.022017
357,21817,4035.476000,40.732911,-73.941410,0.022014
358,36298,4034.910000,40.732875,-73.941541,0.022011
359,36299,4034.344000,40.732842,-73.941679,0.022008
360,61569,4033.932000,40.753569,-73.969472,0.022006
361,52043,4033.778000,40.732816,-73.941802,0.022005
362,62030,4033.634000,40.753056,-73.969848,0.022004
363,59022,4033.212000,40.732797,-73.941915,0.022002
364,21818,4032.646000,40.732780,-73.942015,0.021999
365,59021,4032.080000,40.732692,-73.942602,0.021996
366,18812,4032.020000,40.732658,-73.942807,0.021996
367,27965,4029.792000,40.746703,-73.943325,0.021983
368,68315,4029.224000,40.746690,-73.943357,0.021980
369,27970,4028.664000,40.746472,-73.943902,0.021977
370,6902,4028.520000,40.746438,-73.943986,0.021976
371,23154,4025.126000,40.746091,-73.944856,0.021958
372,49945,4024.788000,40.746397,-73.944090,0.021956
373,27974,4022.336000,40.747132,-73.942226,0.021943
374,27889,4021.718000,40.747283,-73.941813,0.021939
375,52618,4021.104000,40.747389,-73.941521,0.021936
376,6572,4020.656000,40.747420,-73.941436,0.021934
377,59160,4019.748000,40.745863,-73.945434,0.021929
378,35972,4019.254000,40.745845,-73.945522,0.021926
379,23157,4017.544000,40.747502,-73.941211,0.021917
380,20740,4016.256000,40.744700,-73.948501,0.021910
381,3022,3986.627000,40.769751,-73.962704,0.021748
382,3021,3982.481000,40.770387,-73.964207,0.021725
383,6899,3970.956000,40.745085,-73.947509,0.021662
384,6900,3957.254000,40.745469,-73.946539,0.021588
385,18606,3953.552000,40.745354,-73.946824,0.021567
386,32425,3889.410000,40.744635,-73.948651,0.021218
387,20739,3889.002000,40.744622,-73.948671,0.021215
388,6898,3882.318000,40.744089,-73.949685,0.021179
389,2152,3868.097000,40.771757,-73.963244,0.021101
390,60725,3865.997000,40.770351,-73.964124,0.021090
391,60843,3865.941000,40.769795,-73.962807,0.021090
392,27200,3865.192000,40.744509,-73.948886,0.021085
393,76326,3864.668000,40.744396,-73.949101,0.021083
394,66892,3864.154000,40.744135,-73.949595,0.021080
395,27201,3862.970000,40.744867,-73.948085,0.021073
396,6563,3862.484000,40.744821,-73.948204,0.021071
397,32424,3862.002000,40.744762,-73.948358,0.021068
398,66891,3858.994000,40.744045,-73.949786,0.021052
399,23127,3858.472000,40.743937,-73.949978,0.021049
400,68585,3857.962000,40.743719,-73.950387,0.021046
401,720,3857.721000,40.769114,-73.963169,0.021045
402,1778,3857.661000,40.771064,-73.963721,0.021044
403,49293,3857.466000,40.743596,-73.950620,0.021043
404,6897,3856.972000,40.743547,-73.950714,0.021041
405,60933,3855.267000,40.770432,-73.964174,0.021031
406,27591,3855.091000,40.770968,-73.963793,0.021030
407,27594,3854.541000,40.771161,-73.963648,0.021027
408,61725,3854.369000,40.771707,-73.963280,0.021026
409,36271,3852.295000,40.769172,-73.963126,0.021015
410,60723,3852.121000,40.769686,-73.962751,0.021014
411,66647,3780.332000,40.743265,-73.951258,0.020623
412,2729,3777.406000,40.747295,-73.974055,0.020607
413,2728,3773.454000,40.746685,-73.974496,0.020585
414,40761,3771.068000,40.747247,-73.974089,0.020572
415,28054,3770.752000,40.746753,-73.974447,0.020570
416,36309,3740.140000,40.743377,-73.951033,0.020403
417,18557,3739.863000,40.777006,-73.959649,0.020402
418,15076,3739.646000,40.743356,-73.951076,0.020401
419,60906,3737.387000,40.777068,-73.959603,0.020388
420,18561,3737.277000,40.777637,-73.959189,0.020388
421,23779,3737.185000,40.777584,-73.959227,0.020387
422,18560,3736.713000,40.778907,-73.958260,0.020385
423,4721,3735.824000,40.727750,-73.941992,0.020380
424,34495,3734.838000,40.732556,-73.942786,0.020374
425,75679,3734.228000,40.732514,-73.942777,0.020371
426,23883,3733.628000,40.732232,-73.942730,0.020368
427,40807,3733.038000,40.731577,-73.942616,0.020365
428,68712,3732.452000,40.731537,-73.942610,0.020361
429,4722,3731.866000,40.730902,-73.942514,0.020358
430,40806,3731.280000,40.730618,-73.942467,0.020355
431,40809,3730.694000,40.730288,-73.942411,0.020352
432,63149,3730.108000,40.730278,-73.942410,0.020349
433,38329,3729.532000,40.729575,-73.942291,0.020345
434,38175,3728.966000,40.729282,-73.942242,0.020342
435,34494,3728.416000,40.727837,-73.942006,0.020339
436,62032,3723.188000,40.752943,-73.969931,0.020311
437,18567,3719.289000,40.780224,-73.957298,0.020290
